temp_h,temp_p,timestamp
21.743083953857422,20.943750381469727,2015-09-10 11:06:53.458185
21.66996192932129,20.829166412353516,2015-09-10 11:07:03.462564
21.889328002929688,20.787500381469727,2015-09-10 11:07:13.453782
22.01729393005371,20.941667556762695,2015-09-10 11:07:23.460024
22.07213592529297,21.11458396911621,2015-09-10 11:07:33.461136
22.254941940307617,21.304166793823242,2015-09-10 11:07:43.462001
22.382905960083008,21.44791603088379,2015-09-10 11:07:53.470228
22.711957931518555,21.579166412353516,2015-09-10 11:08:03.473043
22.803359985351562,21.704166412353516,2015-09-10 11:08:13.476235
22.766799926757812,21.8125,2015-09-10 11:08:23.474330
22.803359985351562,21.891666412353516,2015-09-10 11:08:33.477035
22.98616600036621,21.987499237060547,2015-09-10 11:08:43.480953
23.059289932250977,22.049999237060547,2015-09-10 11:08:53.484102
23.150691986083984,22.110416412353516,2015-09-10 11:09:03.481855
23.07756996154785,22.170833587646484,2015-09-10 11:09:13.484833
23.2603759765625,22.21666717529297,2015-09-10 11:09:23.487289
23.187253952026367,22.262500762939453,2015-09-10 11:09:33.492363
23.278656005859375,22.308332443237305,2015-09-10 11:09:43.485474
23.370059967041016,22.34375,2015-09-10 11:09:53.487130
23.296937942504883,22.381250381469727,2015-09-10 11:10:03.491331
23.424901962280273,22.402082443237305,2015-09-10 11:10:13.491977
23.315217971801758,22.43541717529297,2015-09-10 11:10:23.495792
23.424901962280273,22.46666717529297,2015-09-10 11:10:33.498908
23.424901962280273,22.48958396911621,2015-09-10 11:10:43.492505
23.370059967041016,22.506250381469727,2015-09-10 11:10:53.494176
23.552865982055664,22.53125,2015-09-10 11:11:03.496051
23.498023986816406,22.556249618530273,2015-09-10 11:11:13.499946
23.4066219329834,22.56458282470703,2015-09-10 11:11:23.501081
23.607707977294922,22.575000762939453,2015-09-10 11:11:33.502817
23.53458595275879,22.587499618530273,2015-09-10 11:11:43.504768
23.461463928222656,22.606250762939453,2015-09-10 11:11:53.508881
