temp_h,temp_p,timestamp
20.116107940673828,18.804166793823242,2015-09-10 11:03:20.380497
20.06126594543457,18.797916412353516,2015-09-10 11:03:30.380937
20.18922996520996,18.902082443237305,2015-09-10 11:03:40.381845
20.207509994506836,19.070833206176758,2015-09-10 11:03:50.381751
20.390316009521484,19.233333587646484,2015-09-10 11:04:00.382651
20.408597946166992,19.38541603088379,2015-09-10 11:04:10.384530
20.6462459564209,19.566667556762695,2015-09-10 11:04:20.387305
20.829051971435547,19.71666717529297,2015-09-10 11:04:30.387704
20.829051971435547,19.84375,2015-09-10 11:04:40.390798
21.048419952392578,20.00208282470703,2015-09-10 11:04:50.392542
21.139822006225586,20.137500762939453,2015-09-10 11:05:00.394558
21.21294593811035,20.262500762939453,2015-09-10 11:05:10.388052
21.359189987182617,20.39583396911621,2015-09-10 11:05:20.401010
21.43231201171875,20.516666412353516,2015-09-10 11:05:30.400682
21.505435943603516,20.63541603088379,2015-09-10 11:05:40.403400
21.52371597290039,20.733333587646484,2015-09-10 11:05:50.404002
21.761363983154297,20.84166717529297,2015-09-10 11:06:00.407541
21.852767944335938,20.9375,2015-09-10 11:06:10.401058
21.871047973632812,21.02916717529297,2015-09-10 11:06:20.401997
